                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 2.1463,                 1.7007,                0.95933,                0.35099,                0.34472,                0.28149,                0.10131,                  2.346,                  1.913,                0.99082,               0.007327,               0.007327,               0.007327
                    137,                 2.1424,                 1.6933,                0.96107,                0.34039,                0.36472,                0.28486,                0.10076,                 2.3388,                  1.885,                0.98957,              0.0073072,              0.0073072,              0.0073072
                    138,                 2.1424,                 1.7073,                0.96222,                0.38591,                0.35724,                0.29452,                 0.1017,                  2.323,                 1.8795,                0.98713,              0.0072874,              0.0072874,              0.0072874
                    139,                 2.1419,                 1.7173,                0.95678,                 0.3608,                0.36459,                  0.304,                0.10591,                 2.3192,                 1.8621,                 0.9841,              0.0072676,              0.0072676,              0.0072676
                    140,                 2.1327,                 1.6953,                0.95753,                0.32703,                0.35994,                0.28282,                0.09895,                 2.3467,                 1.8846,                0.99003,              0.0072478,              0.0072478,              0.0072478
                    141,                 2.1256,                 1.6861,                0.95967,                 0.3198,                0.40534,                0.29928,                0.10595,                 2.3334,                  1.878,                0.98739,               0.007228,               0.007228,               0.007228
                    142,                 2.1388,                 1.6853,                0.96451,                0.36801,                0.37428,                0.29502,                0.10428,                 2.3026,                 1.8749,                0.98468,              0.0072082,              0.0072082,              0.0072082
                    143,                 2.1285,                 1.6689,                0.95456,                0.35306,                0.37614,                 0.2771,                0.09744,                 2.3043,                 1.8698,                0.98214,              0.0071884,              0.0071884,              0.0071884
                    144,                 2.1294,                 1.6796,                 0.9561,                0.33545,                0.37028,                0.28504,                0.09965,                 2.3029,                 1.8766,                0.98336,              0.0071686,              0.0071686,              0.0071686
                    145,                 2.1233,                 1.6703,                0.95751,                0.35936,                0.38414,                 0.2887,                0.09689,                 2.2993,                 1.8753,                0.98578,              0.0071488,              0.0071488,              0.0071488
                    146,                 2.1117,                 1.6728,                0.95753,                0.31975,                0.39227,                0.27457,                0.09692,                 2.3018,                 1.8824,                0.98465,               0.007129,               0.007129,               0.007129
                    147,                 2.1299,                 1.6498,                0.95917,                0.37643,                0.36691,                0.29358,                0.10324,                   2.32,                 1.8663,                0.98546,              0.0071092,              0.0071092,              0.0071092
